date,ROH_0
2015-11-24,65.0
2015-11-25,42.0
2015-11-26,49.0
2015-11-27,114.0
2015-11-28,47.0
2015-11-29,15.0
2015-11-30,47.0
2015-12-01,45.0
2015-12-02,52.0
2015-12-03,59.0
2015-12-04,76.0
2015-12-05,255.0
2015-12-06,44.0
2015-12-07,23.0
2015-12-08,24.0
2015-12-09,68.0
2015-12-10,78.0
2015-12-11,43.0
2015-12-12,40.0
2015-12-13,15.0
2015-12-14,36.0
2015-12-15,26.0
2015-12-16,41.0
2015-12-17,43.0
2015-12-18,42.0
2015-12-19,54.0
2015-12-20,28.0
2015-12-21,38.0
2015-12-22,55.0
2015-12-23,54.0
2015-12-24,69.0
2015-12-25,40.0
2015-12-26,84.0
2015-12-27,83.0
2015-12-28,74.0
2015-12-29,101.0
2015-12-30,171.0
2015-12-31,86.0
2016-01-01,33.0
2016-01-02,119.0
2016-01-03,44.0
2016-01-04,66.0
2016-01-05,38.0
2016-01-06,44.0
2016-01-07,41.0
2016-01-08,47.0
2016-01-09,42.0
2016-01-10,39.0
2016-01-11,39.0
2016-01-12,54.0
2016-01-13,41.0
2016-01-14,78.0
2016-01-15,66.0
2016-01-16,53.0
2016-01-17,31.0
2016-01-18,49.0
2016-01-19,109.0
2016-01-20,56.0
2016-01-21,55.0
2016-01-22,49.0
2016-01-23,62.0
2016-01-24,31.0
2016-01-25,64.0
2016-01-26,60.0
2016-01-27,70.0
2016-01-28,67.0
2016-01-29,67.0
2016-01-30,47.0
2016-01-31,30.0
2016-02-01,48.0
2016-02-02,50.0
2016-02-03,70.0
2016-02-04,86.0
2016-02-05,100.0
2016-02-06,166.0
2016-02-07,88.0
2016-02-08,71.0
2016-02-09,54.0
2016-02-10,65.0
2016-02-11,72.0
2016-02-12,154.0
2016-02-13,152.0
2016-02-14,76.0
2016-02-15,73.0
2016-02-16,70.0
2016-02-17,74.0
2016-02-18,70.0
2016-02-19,154.0
2016-02-20,88.0
2016-02-21,51.0
2016-02-22,91.0
2016-02-23,58.0
2016-02-24,69.0
2016-02-25,94.0
2016-02-26,120.0
2016-02-27,167.0
2016-02-28,66.0
2016-02-29,57.0
2016-03-01,93.0
2016-03-02,117.0
2016-03-03,82.0
2016-03-04,133.0
2016-03-05,97.0
2016-03-06,58.0
2016-03-07,118.0
2016-03-08,101.0
2016-03-09,118.0
2016-03-10,84.0
2016-03-11,136.0
2016-03-12,102.0
2016-03-13,85.0
2016-03-14,102.0
2016-03-15,94.0
2016-03-16,100.0
2016-03-17,134.0
2016-03-18,112.0
2016-03-19,125.0
2016-03-20,135.0
2016-03-21,124.0
2016-03-22,90.0
2016-03-23,94.0
2016-03-24,184.0
2016-03-25,104.0
2016-03-26,59.0
2016-03-27,78.0
2016-03-28,128.0
2016-03-29,98.0
2016-03-30,99.0
2016-03-31,163.0
2016-04-01,77.0
2016-04-02,69.0
2016-04-03,68.0
2016-04-04,151.0
2016-04-05,86.0
2016-04-06,148.0
2016-04-07,118.0
2016-04-08,128.0
2016-04-09,150.0
2016-04-10,83.0
2016-04-11,127.0
2016-04-12,93.0
2016-04-13,112.0
2016-04-14,79.0
2016-04-15,107.0
2016-04-16,120.0
2016-04-17,99.0
2016-04-18,163.0
2016-04-19,78.0
2016-04-20,148.0
2016-04-21,89.0
2016-04-22,132.0
2016-04-23,120.0
2016-04-24,83.0
2016-04-25,93.0
2016-04-26,134.0
2016-04-27,104.0
2016-04-28,124.0
2016-04-29,139.0
2016-04-30,145.0
2016-05-01,61.0
2016-05-02,181.0
2016-05-03,74.0
2016-05-04,102.0
2016-05-05,148.0
2016-05-06,92.0
2016-05-07,99.0
2016-05-08,99.0
2016-05-09,130.0
2016-05-10,102.0
2016-05-11,104.0
2016-05-12,148.0
2016-05-13,101.0
2016-05-14,106.0
2016-05-15,132.0
2016-05-16,149.0
2016-05-17,159.0
2016-05-18,85.0
2016-05-19,168.0
2016-05-20,114.0
2016-05-21,122.0
2016-05-22,102.0
2016-05-23,100.0
2016-05-24,93.0
2016-05-25,89.0
2016-05-26,213.0
2016-05-27,52.0
2016-05-28,60.0
2016-05-29,131.0
2016-05-30,136.0
2016-05-31,111.0
2016-06-01,88.0
2016-06-02,140.0
2016-06-03,118.0
2016-06-04,96.0
2016-06-05,63.0
2016-06-06,200.0
2016-06-07,65.0
2016-06-08,83.0
2016-06-09,111.0
2016-06-10,136.0
2016-06-11,81.0
2016-06-12,94.0
2016-06-13,99.0
2016-06-14,86.0
2016-06-15,134.0
2016-06-16,89.0
2016-06-17,143.0
2016-06-18,87.0
2016-06-19,90.0
2016-06-20,122.0
2016-06-21,100.0
2016-06-22,94.0
2016-06-23,72.0
2016-06-24,220.0
2016-06-25,52.0
2016-06-26,166.0
2016-06-27,100.0
2016-06-28,95.0
2016-06-29,67.0
2016-06-30,105.0
2016-07-01,92.0
2016-07-02,83.0
2016-07-03,86.0
2016-07-04,106.0
2016-07-05,92.0
2016-07-06,96.0
2016-07-07,84.0
2016-07-08,94.0
2016-07-09,98.0
2016-07-10,89.0
2016-07-11,110.0
2016-07-12,91.0
2016-07-13,91.0
2016-07-14,89.0
2016-07-15,93.0
2016-07-16,109.0
2016-07-17,88.0
2016-07-18,129.0
2016-07-19,79.0
2016-07-20,92.0
2016-07-21,154.0
2016-07-22,85.0
2016-07-23,139.0
2016-07-24,92.0
2016-07-25,115.0
2016-07-26,85.0
2016-07-27,83.0
2016-07-28,98.0
2016-07-29,87.0
2016-07-30,161.0
2016-07-31,83.0
2016-08-01,144.0
2016-08-02,94.0
2016-08-03,103.0
2016-08-04,104.0
2016-08-05,90.0
2016-08-06,100.0
2016-08-07,93.0
2016-08-08,142.0
2016-08-09,86.0
2016-08-10,76.0
2016-08-11,97.0
2016-08-12,119.0
2016-08-13,114.0
2016-08-14,95.0
2016-08-15,112.0
2016-08-16,105.0
2016-08-17,91.0
2016-08-18,143.0
2016-08-19,92.0
2016-08-20,137.0
2016-08-21,112.0
2016-08-22,119.0
2016-08-23,77.0
2016-08-24,93.0
2016-08-25,102.0
2016-08-26,107.0
2016-08-27,83.0
2016-08-28,116.0
2016-08-29,111.0
2016-08-30,87.0
2016-08-31,94.0
2016-09-01,113.0
2016-09-02,107.0
2016-09-03,109.0
2016-09-04,80.0
2016-09-05,133.0
2016-09-06,76.0
2016-09-07,58.0
2016-09-08,97.0
2016-09-09,96.0
2016-09-10,88.0
2016-09-11,122.0
2016-09-12,123.0
2016-09-13,148.0
2016-09-14,91.0
2016-09-15,174.0
2016-09-16,118.0
2016-09-17,90.0
2016-09-18,130.0
2016-09-19,144.0
2016-09-20,120.0
2016-09-21,157.0
2016-09-22,116.0
2016-09-23,100.0
2016-09-24,60.0
2016-09-25,122.0
2016-09-26,167.0
2016-09-27,93.0
2016-09-28,100.0
2016-09-29,104.0
2016-09-30,136.0
2016-10-01,63.0
2016-10-02,109.0
2016-10-03,131.0
2016-10-04,97.0
2016-10-05,107.0
2016-10-06,174.0
2016-10-07,115.0
2016-10-08,68.0
2016-10-09,140.0
2016-10-10,145.0
2016-10-11,130.0
2016-10-12,148.0
2016-10-13,144.0
2016-10-14,146.0
2016-10-15,56.0
2016-10-16,147.0
2016-10-17,107.0
2016-10-18,95.0
2016-10-19,87.0
2016-10-20,152.0
2016-10-21,104.0
2016-10-22,73.0
2016-10-23,167.0
2016-10-24,100.0
2016-10-25,127.0
2016-10-26,106.0
2016-10-27,95.0
2016-10-28,151.0
2016-10-29,158.0
2016-10-30,130.0
2016-10-31,117.0
2016-11-01,83.0
2016-11-02,114.0
2016-11-03,91.0
2016-11-04,108.0
2016-11-05,104.0
2016-11-06,92.0
2016-11-07,131.0
2016-11-08,74.0
2016-11-09,63.0
2016-11-10,102.0
2016-11-11,143.0
2016-11-12,94.0
2016-11-13,99.0
2016-11-14,117.0
2016-11-15,81.0
2016-11-16,95.0
2016-11-17,101.0
2016-11-18,134.0
2016-11-19,102.0
2016-11-20,58.0
2016-11-21,149.0
2016-11-22,56.0
2016-11-23,83.0
2016-11-24,81.0
2016-11-25,125.0
2016-11-26,84.0
2016-11-27,48.0
2016-11-28,86.0
2016-11-29,72.0
2016-11-30,48.0
2016-12-01,76.0
2016-12-02,119.0
2016-12-03,119.0
2016-12-04,56.0
2016-12-05,111.0
2016-12-06,55.0
2016-12-07,72.0
2016-12-08,154.0
2016-12-09,69.0
2016-12-10,71.0
2016-12-11,31.0
2016-12-12,55.0
2016-12-13,65.0
2016-12-14,66.0
2016-12-15,50.0
2016-12-16,81.0
2016-12-17,82.0
2016-12-18,52.0
2016-12-19,72.0
2016-12-20,53.0
2016-12-21,63.0
2016-12-22,69.0
2016-12-23,78.0
2016-12-24,86.0
2016-12-25,54.0
2016-12-26,71.0
2016-12-27,154.0
2016-12-28,85.0
2016-12-29,95.0
2016-12-30,149.0
2016-12-31,49.0
